0 0
0.1 4.8
0.14 6.1
0.18 7.3
0.22 8.3
0.26 9.1
0.29 9.8
0.33 10.5
0.37 11.1
0.41 11.7
0.45 12.3
0.49 13.0
0.53 13.7
0.57 14.5
0.6 15.2
0.64 16.0
0.68 16.8
0.72 17.7
0.76 18.5
0.8 19.3
0.84 20.1
0.88 20.9
0.91 21.6
0.95 22.3
0.99 23.0
1.03 23.7
1.07 24.4
1.11 25.0
1.15 25.7
1.19 26.4
1.22 27.1
1.26 27.9
1.3 28.7
1.34 29.7
1.38 31.1
1.42 33.2
1.46 36.0
1.5 39.8
1.53 45.0
1.57 52.9
1.61 64.6
1.65 83.6
1.69 114.5
1.73 163.9
1.77 248.7
1.81 394.6
1.84 686.4
1.88 1141.7
1.92 1858.4
1.96 3670.2
2.0 11279.5
2.2 100000.0
