"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
10,-0.010697,0.00093588,0,0.00046722,0.002692,3.9094e+05,-34571,0,0.49128,-0.043443,0,0,0,0.00046328
10,-0.010697,0.00093588,0,0.00046722,0.002692,3.9094e+05,-34571,0,0.49128,-0.043443,0,0,0,0.00046328
10,-0.010687,0.0010482,0,0.00052312,0.0028048,3.8913e+05,-41750,0,0.48899,-0.052464,0,0,0,0.00052438
10,-0.010686,0.0010524,0,0.00052516,0.002809,3.891e+05,-42050,0,0.48895,-0.052842,0,0,0,0.00052643
10,-0.010686,0.0010579,0,0.0005279,0.0028146,3.8919e+05,-42222,0,0.48907,-0.053058,0,0,0,0.00052885
10,-0.010674,0.0011684,0,0.00058279,0.0029257,3.8968e+05,-47420,0,0.48969,-0.059589,0,0,0,0.00059154
10,-0.010673,0.0011789,0,0.00058798,0.0029362,3.8973e+05,-47652,0,0.48975,-0.059881,0,0,0,0.00059636
10,-0.010661,0.001283,0,0.00063981,0.0030411,3.8943e+05,-49696,0,0.48937,-0.06245,0,0,0,0.00064286
10,-0.01066,0.0012946,0,0.00064556,0.0030527,3.8939e+05,-49912,0,0.48933,-0.062721,0,0,0,0.000649
10,-0.010647,0.0013919,0,0.00069395,0.0031508,3.889e+05,-51276,0,0.48871,-0.064435,0,0,0,0.0006909
10,-0.010646,0.0014046,0,0.00070026,0.0031636,3.8884e+05,-51456,0,0.48864,-0.064662,0,0,0,0.00069706
10,-0.010631,0.0015085,0,0.00075199,0.0032684,3.8814e+05,-53055,0,0.48775,-0.066671,0,0,0,0.00074897
10,-0.01063,0.0015177,0,0.00075658,0.0032778,3.8805e+05,-53176,0,0.48763,-0.066823,0,0,0,0.00075368
10,-0.010629,0.0015251,0,0.00076022,0.0032852,3.8794e+05,-53439,0,0.4875,-0.067153,0,0,0,0.00075864
10,-0.010614,0.0016253,0,0.00081019,0.0033865,3.8729e+05,-56492,0,0.48668,-0.070989,0,0,0,0.00080849
10,-0.010612,0.0016373,0,0.00081616,0.0033986,3.8712e+05,-56798,0,0.48647,-0.071375,0,0,0,0.0008132
10,-0.010595,0.0017449,0,0.00086982,0.0035076,3.8527e+05,-60905,0,0.48414,-0.076535,0,0,0,0.00086284
10,-0.010594,0.0017497,0,0.00087221,0.0035125,3.8513e+05,-61165,0,0.48396,-0.076862,0,0,0,0.00086548
10,-0.010575,0.0018646,0,0.00092949,0.0036291,3.8192e+05,-68392,0,0.47993,-0.085944,0,0,0,0.00092713
10,-0.010575,0.0018646,0,0.00092949,0.0036291,3.8192e+05,-68392,0,0.47993,-0.085944,0,0,0,0.00092713
10,-0.010575,0.0018646,0,0.00092949,0.0036291,3.8192e+05,-68392,0,0.47993,-0.085944,0,0,0,0.00092713
10,-0.010554,0.0019785,0,0.00098632,0.0037448,3.8112e+05,-75819,0,0.47893,-0.095277,0,0,0,0.0009892
10,-0.010553,0.0019824,0,0.00098824,0.0037488,3.8114e+05,-76046,0,0.47895,-0.095562,0,0,0,0.00099151
10,-0.010532,0.0020908,0,0.0010424,0.0038592,3.808e+05,-79637,0,0.47852,-0.10007,0,0,0,0.0010419
10,-0.01053,0.0021013,0,0.0010475,0.0038698,3.808e+05,-79907,0,0.47852,-0.10041,0,0,0,0.0010467
10,-0.01051,0.0021987,0,0.0010963,0.0039693,3.8001e+05,-82415,0,0.47753,-0.10357,0,0,0,0.0010973
10,-0.010508,0.00221,0,0.0011019,0.0039808,3.7996e+05,-82632,0,0.47747,-0.10384,0,0,0,0.0011028
10,-0.010506,0.0022176,0,0.0011057,0.0039887,3.7995e+05,-82762,0,0.47746,-0.104,0,0,0,0.0011069
10,-0.010484,0.0023204,0,0.0011572,0.0040938,3.7943e+05,-84359,0,0.4768,-0.10601,0,0,0,0.0011594
10,-0.010481,0.0023346,0,0.0011642,0.0041083,3.7927e+05,-84563,0,0.47661,-0.10627,0,0,0,0.0011665
10,-0.01046,0.0024284,0,0.0012113,0.0042046,3.786e+05,-86207,0,0.47576,-0.10833,0,0,0,0.0012114
10,-0.010456,0.0024435,0,0.0012188,0.00422,3.7845e+05,-86459,0,0.47558,-0.10865,0,0,0,0.0012184
10,-0.010431,0.002548,0,0.0012713,0.0043275,3.7703e+05,-89128,0,0.47379,-0.112,0,0,0,0.0012708
10,-0.010429,0.0025575,0,0.0012761,0.0043373,3.7679e+05,-89405,0,0.47348,-0.11235,0,0,0,0.0012754
10,-0.010403,0.0026626,0,0.0013289,0.0044456,3.7313e+05,-94232,0,0.46889,-0.11842,0,0,0,0.0013323
10,-0.010402,0.0026663,0,0.0013308,0.0044495,3.7291e+05,-94363,0,0.46861,-0.11858,0,0,0,0.0013344
10,-0.010401,0.0026693,0,0.0013323,0.0044525,3.7287e+05,-94593,0,0.46856,-0.11887,0,0,0,0.0013359
10,-0.010372,0.0027792,0,0.0013875,0.0045661,3.7144e+05,-1.0155e+05,0,0.46677,-0.12761,0,0,0,0.0013918
11,-0.010372,0.0027792,0,0.0013875,0.0045661,3.7551e+05,-1.0228e+05,0,0.47188,-0.12853,0,0,0,0.0013854
11,-0.010372,0.0027792,0,0.0013875,0.0045661,3.7551e+05,-1.0228e+05,0,0.47188,-0.12853,0,0,0,0.0013854
11,-0.010372,0.0027792,0,0.0013875,0.0045661,3.7551e+05,-1.0228e+05,0,0.47188,-0.12853,0,0,0,0.0013854
10,-0.010342,0.0028898,0,0.0014434,0.0046809,3.6999e+05,-1.0714e+05,0,0.46495,-0.13463,0,0,0,0.001444
10,-0.010341,0.0028942,0,0.0014456,0.0046854,3.7001e+05,-1.0738e+05,0,0.46497,-0.13493,0,0,0,0.0014462
10,-0.01031,0.0030015,0,0.0014998,0.0047969,3.695e+05,-1.1106e+05,0,0.46433,-0.13956,0,0,0,0.0015002
10,-0.010307,0.0030107,0,0.0015044,0.0048065,3.695e+05,-1.1128e+05,0,0.46433,-0.13984,0,0,0,0.001505
10,-0.010278,0.00311,0,0.0015548,0.0049102,3.6903e+05,-1.135e+05,0,0.46374,-0.14262,0,0,0,0.0015553
10,-0.010274,0.0031224,0,0.001561,0.0049231,3.6908e+05,-1.1368e+05,0,0.4638,-0.14286,0,0,0,0.0015613
10,-0.010243,0.0032234,0,0.0016124,0.0050288,3.6882e+05,-1.15e+05,0,0.46347,-0.14451,0,0,0,0.0016126
10,-0.010239,0.0032345,0,0.001618,0.0050405,3.6879e+05,-1.1513e+05,0,0.46344,-0.14467,0,0,0,0.0016182
10,-0.010207,0.0033352,0,0.0016695,0.0051463,3.6867e+05,-1.1662e+05,0,0.46328,-0.14654,0,0,0,0.0016695
10,-0.010203,0.0033465,0,0.0016752,0.0051581,3.6856e+05,-1.1681e+05,0,0.46315,-0.14679,0,0,0,0.0016756
10,-0.01017,0.0034466,0,0.0017267,0.0052637,3.6823e+05,-1.1932e+05,0,0.46273,-0.14995,0,0,0,0.0017269
10,-0.010166,0.0034588,0,0.0017329,0.0052765,3.6799e+05,-1.1972e+05,0,0.46242,-0.15044,0,0,0,0.001733
10,-0.010131,0.0035578,0,0.001784,0.0053813,3.6678e+05,-1.2398e+05,0,0.4609,-0.1558,0,0,0,0.0017829
10,-0.010129,0.0035648,0,0.0017876,0.0053887,3.667e+05,-1.2433e+05,0,0.4608,-0.15624,0,0,0,0.0017865
11,-0.01009,0.0036726,0,0.0018435,0.0055032,3.6902e+05,-1.3057e+05,0,0.46373,-0.16408,0,0,0,0.0018432
11,-0.01009,0.0036726,0,0.0018435,0.0055032,3.6902e+05,-1.3057e+05,0,0.46373,-0.16408,0,0,0,0.0018432
11,-0.01009,0.0036726,0,0.0018435,0.0055032,3.6902e+05,-1.3057e+05,0,0.46373,-0.16408,0,0,0,0.0018432
10,-0.01009,0.0036726,0,0.0018435,0.0055032,3.6584e+05,-1.3016e+05,0,0.45973,-0.16356,0,0,0,0.0018426
10,-0.010051,0.003779,0,0.0018992,0.0056166,3.6622e+05,-1.3569e+05,0,0.4602,-0.17051,0,0,0,0.0019034
10,-0.010048,0.0037877,0,0.0019037,0.0056259,3.664e+05,-1.3602e+05,0,0.46043,-0.17092,0,0,0,0.0019073
10,-0.010009,0.0038899,0,0.0019576,0.0057354,3.6872e+05,-1.3828e+05,0,0.46334,-0.17377,0,0,0,0.0019605
10,-0.010005,0.0038986,0,0.0019622,0.0057447,3.6921e+05,-1.3847e+05,0,0.46396,-0.174,0,0,0,0.0019663
10,-0.009968,0.0039927,0,0.0020125,0.0058459,3.7275e+05,-1.3781e+05,0,0.46841,-0.17317,0,0,0,0.0020113
10,-0.0099628,0.0040058,0,0.0020195,0.00586,3.7348e+05,-1.3768e+05,0,0.46933,-0.17302,0,0,0,0.0020187
10,-0.0099248,0.0040989,0,0.0020699,0.0059605,3.7979e+05,-1.3594e+05,0,0.47726,-0.17083,0,0,0,0.0020708
10,-0.0099206,0.0041093,0,0.0020756,0.0059718,3.8068e+05,-1.3594e+05,0,0.47838,-0.17082,0,0,0,0.0020765
10,-0.0099175,0.0041167,0,0.0020797,0.0059798,3.813e+05,-1.3549e+05,0,0.47916,-0.17026,0,0,0,0.0020803
10,-0.0098772,0.0042124,0,0.0021324,0.0060837,3.9139e+05,-1.2914e+05,0,0.49184,-0.16228,0,0,0,0.002139
10,-0.009874,0.0042199,0,0.0021366,0.0060918,3.925e+05,-1.2893e+05,0,0.49322,-0.16202,0,0,0,0.0021432
10,-0.0098696,0.0042301,0,0.0021424,0.0061029,3.9346e+05,-1.2781e+05,0,0.49444,-0.16061,0,0,0,0.0021483
10,-0.0098298,0.0043219,0,0.0021937,0.0062029,3.9979e+05,-1.1496e+05,0,0.50239,-0.14446,0,0,0,0.0021936
10,-0.0098263,0.00433,0,0.0021984,0.0062118,4.0073e+05,-1.1313e+05,0,0.50357,-0.14216,0,0,0,0.0021983
10,-0.0098057,0.0043764,0,0.0022243,0.0062625,4.0444e+05,-1.0205e+05,0,0.50823,-0.12824,0,0,0,0.0022279
10,-0.0098029,0.0043827,0,0.002228,0.0062695,4.0508e+05,-1.002e+05,0,0.50904,-0.12591,0,0,0,0.0022316
10,-0.0097816,0.0044299,0,0.0022543,0.0063212,4.0511e+05,-86693,0,0.50907,-0.10894,0,0,0,0.0022566
10,-0.0097796,0.0044344,0,0.0022569,0.0063262,4.0521e+05,-85121,0,0.5092,-0.10697,0,0,0,0.002259
10,-0.0097573,0.0044832,0,0.0022834,0.0063797,4.0332e+05,-68614,0,0.50683,-0.086223,0,0,0,0.0022824
10,-0.0097566,0.0044848,0,0.0022843,0.0063816,4.0319e+05,-67750,0,0.50667,-0.085137,0,0,0,0.0022835
10,-0.0097319,0.0045381,0,0.0023125,0.0064403,3.9064e+05,-46361,0,0.4909,-0.058259,0,0,0,0.002319
10,-0.0097319,0.0045381,0,0.0023125,0.0064403,3.9064e+05,-46361,0,0.4909,-0.058259,0,0,0,0.002319
10,-0.0097319,0.0045381,0,0.0023125,0.0064403,3.9064e+05,-46361,0,0.4909,-0.058259,0,0,0,0.002319
10,-0.0096835,0.0046405,0,0.0023625,0.0065536,3.5552e+05,-28661,0,0.44676,-0.036017,0,0,0,0.0023626
10,-0.0096815,0.0046448,0,0.0023645,0.0065583,3.5303e+05,-28188,0,0.44363,-0.035423,0,0,0,0.0023648
10,-0.0096355,0.0047393,0,0.0024055,0.0066634,3.1013e+05,-25939,0,0.38972,-0.032597,0,0,0,0.0024118
10,-0.00963,0.0047505,0,0.0024101,0.0066758,3.0644e+05,-25687,0,0.38509,-0.032279,0,0,0,0.0024156
10,-0.0096269,0.0047567,0,0.0024124,0.0066828,3.0432e+05,-27023,0,0.38242,-0.033958,0,0,0,0.0024179
10,-0.0095788,0.0048528,0,0.0024503,0.0067903,2.7596e+05,-37384,0,0.34678,-0.046978,0,0,0,0.0024564
10,-0.0095739,0.0048625,0,0.0024537,0.0068012,2.734e+05,-38660,0,0.34357,-0.048582,0,0,0,0.0024598
10,-0.0095288,0.0049503,0,0.0024862,0.0068998,2.518e+05,-49791,0,0.31642,-0.06257,0,0,0,0.002491
10,-0.0095242,0.0049592,0,0.0024893,0.0069099,2.4906e+05,-51010,0,0.31298,-0.064101,0,0,0,0.0024947
10,-0.0095194,0.0049683,0,0.0024923,0.0069202,2.479e+05,-53013,0,0.31152,-0.066618,0,0,0,0.0024975
10,-0.0094713,0.0050594,0,0.0025242,0.0070232,2.3429e+05,-68761,0,0.29441,-0.086407,0,0,0,0.0025279
10,-0.0094636,0.0050738,0,0.0025289,0.0070395,2.3214e+05,-71123,0,0.29172,-0.089376,0,0,0,0.002532
10,-0.0094193,0.0051556,0,0.0025572,0.0071326,2.2213e+05,-83826,0,0.27914,-0.10534,0,0,0,0.0025549
10,-0.009414,0.0051653,0,0.0025605,0.0071436,2.208e+05,-85624,0,0.27746,-0.1076,0,0,0,0.0025583
10,-0.0093608,0.0052611,0,0.0025927,0.0072532,2.0764e+05,-95801,0,0.26092,-0.12039,0,0,0,0.0025858
10,-0.0093576,0.0052668,0,0.0025945,0.0072597,2.0695e+05,-96504,0,0.26006,-0.12127,0,0,0,0.0025874
11,-0.0092994,0.005369,0,0.0026283,0.0073773,1.9759e+05,-1.269e+05,0,0.2483,-0.15947,0,0,0,0.0026297
11,-0.0092994,0.005369,0,0.0026283,0.0073773,1.9759e+05,-1.269e+05,0,0.2483,-0.15947,0,0,0,0.0026297
11,-0.0092994,0.005369,0,0.0026283,0.0073773,1.9759e+05,-1.269e+05,0,0.2483,-0.15947,0,0,0,0.0026297
11,-0.0092994,0.005369,0,0.0026283,0.0073773,1.9759e+05,-1.269e+05,0,0.2483,-0.15947,0,0,0,0.0026297
10,-0.009242,0.0054671,0,0.0026609,0.007491,1.7571e+05,-1.3436e+05,0,0.22081,-0.16884,0,0,0,0.0026617
10,-0.0092398,0.0054708,0,0.0026621,0.0074953,1.7538e+05,-1.3492e+05,0,0.22039,-0.16955,0,0,0,0.0026627
10,-0.0092369,0.0054756,0,0.0026636,0.0075009,1.7504e+05,-1.3575e+05,0,0.21996,-0.17058,0,0,0,0.0026639
10,-0.0091807,0.0055695,0,0.002695,0.0076103,1.66e+05,-1.5563e+05,0,0.20861,-0.19557,0,0,0,0.0026953
10,-0.0091777,0.0055744,0,0.0026965,0.007616,1.6551e+05,-1.5695e+05,0,0.20799,-0.19722,0,0,0,0.0026974
10,-0.0091215,0.0056658,0,0.0027275,0.0077234,1.625e+05,-1.7142e+05,0,0.2042,-0.21541,0,0,0,0.0027258
10,-0.0091126,0.0056801,0,0.0027322,0.0077402,1.6141e+05,-1.7375e+05,0,0.20283,-0.21834,0,0,0,0.0027298
10,-0.0090628,0.0057593,0,0.0027601,0.0078338,1.5742e+05,-1.9042e+05,0,0.19782,-0.23929,0,0,0,0.0027548
10,-0.0090555,0.0057708,0,0.0027639,0.0078473,1.5694e+05,-1.9342e+05,0,0.19721,-0.24306,0,0,0,0.0027589
10,-0.0089997,0.0058572,0,0.002796,0.0079502,1.5319e+05,-2.1375e+05,0,0.19251,-0.26861,0,0,0,0.0027873
10,-0.0089945,0.0058653,0,0.0027988,0.0079598,1.5239e+05,-2.1604e+05,0,0.19149,-0.27149,0,0,0,0.00279
10,-0.0089884,0.0058747,0,0.0028022,0.007971,1.5285e+05,-2.1886e+05,0,0.19208,-0.27503,0,0,0,0.0027936
10,-0.0089314,0.0059611,0,0.0028366,0.0080746,1.5702e+05,-2.4766e+05,0,0.19731,-0.31121,0,0,0,0.002831
10,-0.0089265,0.0059684,0,0.0028394,0.0080833,1.5737e+05,-2.5028e+05,0,0.19776,-0.31451,0,0,0,0.0028337
10,-0.008865,0.0060593,0,0.0028794,0.0081931,1.6984e+05,-2.8304e+05,0,0.21343,-0.35568,0,0,0,0.0028707
10,-0.0088626,0.0060628,0,0.0028809,0.0081974,1.7031e+05,-2.8472e+05,0,0.21402,-0.35779,0,0,0,0.0028721
10,-0.0088609,0.0060654,0,0.0028821,0.0082005,1.718e+05,-2.8565e+05,0,0.21589,-0.35896,0,0,0,0.0028735
10,-0.0087961,0.0061591,0,0.0029283,0.0083144,2.0393e+05,-3.0153e+05,0,0.25627,-0.37892,0,0,0,0.00292
11,-0.0087961,0.0061591,0,0.0029283,0.0083144,2.1506e+05,-2.7533e+05,0,0.27025,-0.34599,0,0,0,0.0029356
11,-0.0087961,0.0061591,0,0.0029283,0.0083144,2.1506e+05,-2.7533e+05,0,0.27025,-0.34599,0,0,0,0.0029356
11,-0.0087961,0.0061591,0,0.0029283,0.0083144,2.1506e+05,-2.7533e+05,0,0.27025,-0.34599,0,0,0,0.0029356
10,-0.0087313,0.0062504,0,0.0029777,0.0084264,2.3725e+05,-2.9565e+05,0,0.29814,-0.37153,0,0,0,0.0029667
10,-0.0087277,0.0062554,0,0.0029807,0.0084325,2.3907e+05,-2.9429e+05,0,0.30042,-0.36982,0,0,0,0.0029692
10,-0.0086632,0.0063444,0,0.0030309,0.0085424,2.5858e+05,-2.7569e+05,0,0.32494,-0.34645,0,0,0,0.0030217
10,-0.008658,0.0063516,0,0.0030352,0.0085513,2.5973e+05,-2.7351e+05,0,0.32639,-0.3437,0,0,0,0.0030257
10,-0.0085957,0.0064356,0,0.0030825,0.0086558,2.6631e+05,-2.5097e+05,0,0.33465,-0.31538,0,0,0,0.0030776
10,-0.0085898,0.0064435,0,0.0030871,0.0086657,2.6598e+05,-2.4891e+05,0,0.33424,-0.31279,0,0,0,0.0030822
10,-0.0085854,0.0064494,0,0.0030905,0.0086731,2.6529e+05,-2.4796e+05,0,0.33338,-0.31159,0,0,0,0.0030861
10,-0.0085248,0.0065293,0,0.0031349,0.0087734,2.6452e+05,-2.3491e+05,0,0.3324,-0.2952,0,0,0,0.0031347
10,-0.0085192,0.0065366,0,0.0031391,0.0087826,2.648e+05,-2.338e+05,0,0.33276,-0.2938,0,0,0,0.0031382
10,-0.0085132,0.0065443,0,0.0031434,0.0087923,2.6407e+05,-2.329e+05,0,0.33184,-0.29267,0,0,0,0.0031429
10,-0.0084493,0.0066267,0,0.0031887,0.0088966,2.5907e+05,-2.2548e+05,0,0.32556,-0.28335,0,0,0,0.0031898
10,-0.0084425,0.0066354,0,0.0031935,0.0089077,2.5839e+05,-2.2485e+05,0,0.3247,-0.28256,0,0,0,0.0031949
10,-0.0083783,0.0067162,0,0.0032374,0.0090108,2.5379e+05,-2.2044e+05,0,0.31892,-0.27702,0,0,0,0.0032352
10,-0.0083712,0.0067251,0,0.0032422,0.0090222,2.5329e+05,-2.2007e+05,0,0.31829,-0.27655,0,0,0,0.0032394
10,-0.0083045,0.0068073,0,0.0032864,0.0091282,2.4796e+05,-2.158e+05,0,0.31159,-0.27118,0,0,0,0.0032821
10,-0.0083016,0.0068108,0,0.0032883,0.0091327,2.4766e+05,-2.1548e+05,0,0.31122,-0.27079,0,0,0,0.0032842
10,-0.0082987,0.0068144,0,0.0032901,0.0091372,2.4728e+05,-2.1537e+05,0,0.31074,-0.27064,0,0,0,0.003286
10,-0.0082258,0.0069023,0,0.0033367,0.0092514,2.3781e+05,-2.1339e+05,0,0.29884,-0.26815,0,0,0,0.0033354
10,-0.0082258,0.0069023,0,0.0033367,0.0092514,2.3781e+05,-2.1339e+05,0,0.29884,-0.26815,0,0,0,0.0033354
