"Time [ms]","InducedVoltage(PriCoil) [V]","InducedVoltage(SecCoil) [V]","Current(PriCoil) [A]"
0,0.0424975,-0.0207469,0
0.33333333333333,2.75552902653038,1.55872681633916,0.00402784717594805
0.66666666666666,5.46856051505753,3.13820053160146,0.00596234770384098
0.99999999999999,8.09531167417715,4.65560382781626,0.00777699637932002
1.33333333333332,10.5943884433875,6.09858761688987,0.00958513401450375
1.66666666666665,12.9262969397173,7.44486179553699,0.0114303207368061
1.99999999999998,15.0542065360245,8.67328852122536,0.0133352952905244
2.33333333333331,16.9446167711335,9.76463636956154,0.0153159161939034
2.66666666666664,18.5681075513847,10.70183185036,0.0173781858492967
2.99999999999997,19.9001460734493,11.470874271947,0.0195381162973754
3.3333333333333,20.9150693996414,12.0563907425195,0.0218472121832176
3.66666666666663,21.6001122258795,12.4511410603468,0.0243921694642638
3.99999999999996,21.9451406844015,12.6487034520964,0.0272959534408023
4.33333333333329,21.9439316097978,12.6453494114498,0.0307339543719885
4.66666666666662,21.5951673258533,12.4385267012373,0.0351497726102169
4.99999999999995,20.9051765138345,12.0299556567857,0.0412932843692938
5.33333333333328,19.881517352629,11.4043544763888,0.0532913419834395
5.66666666666661,18.5280143628632,10.4186192888494,0.100694971611025
5.99999999999994,14.7357795355323,7.49857114311482,0.325449351320934
6.33333333333327,14.5095304010582,5.01742120824153,1.24508303379571
6.6666666666666,10.9325186228588,2.41810441631381,4.52999357889361
6.99999999999993,7.28403544225846,1.12563485164246,7.51578723054523
7.33333333333326,4.03085787954011,0.513678415752364,9.24254930852515
7.66666666666659,1.17797867629034,0.136945767466161,9.75340550572145
7.99999999999992,-1.28697800829801,-0.148138335485231,9.19534042099914
8.33333333333325,-3.40285715197384,-0.428665537164923,7.73574800115937
8.66666666666658,-5.20594880208912,-0.75860214277273,5.56882313417682
8.99999999999991,-6.76594097343893,-1.21447380438163,2.94356700797838
9.33333333333324,-8.55638612026609,-2.11801109329324,1.0392986084786
9.66666666666657,-10.7640275418497,-3.77215478634393,0.376436726583385
9.9999999999999,-12.9839816193098,-6.17332881510582,0.1192237053764
10.3333333333332,-15.0848117426972,-8.30515143916575,0.0519350887500125
10.6666666666666,-16.9690705471899,-9.67513797821879,0.0335484579107423
10.9999999999999,-18.5870195617818,-10.6730719148973,0.0252968223436581
11.3333333333332,-19.9153805633511,-11.4568006196471,0.0196323389311529
11.6666666666665,-20.9315611906792,-12.0530353059465,0.0153381563465371
11.9999999999999,-21.6166315256735,-12.4550267944766,0.011942027367399
12.3333333333332,-21.9602359828151,-12.6582139038175,0.00917409052457876
12.6666666666665,-21.9604068638859,-12.6623645273507,0.00691553150852992
12.9999999999999,-21.6136861115059,-12.4656299954177,0.00506320314420341
13.3333333333332,-20.9255960678005,-12.0712328651684,0.003528991671786
13.6666666666665,-19.9071748480441,-11.4858004561958,0.00226227597452877
13.9999999999999,-18.5757634947336,-10.7194306962906,0.00123077947247523
14.3333333333332,-16.9514593670885,-9.78356154990641,0.000376517507501284
14.6666666666665,-15.0598519545874,-8.69227553129134,-0.000466766737097184
14.9999999999998,-12.9281787794596,-7.42559784047499,-0.00701884136312768
15.3333333333332,-10.5953100185228,-6.11321849036221,-0.00818233394859877
15.6666666666665,-8.09509767033265,-4.67841345721757,-0.00818056762482569
15.9999999999998,-5.46884928749706,-3.16518144489097,-0.0077983552182014
16.3333333333332,-2.75421943393932,-1.60014490896311,-0.00713325531749143
16.6666666666665,0.00273716123672283,-0.010375685508237,-0.00621631661011041
16.9999999999998,2.75961238251657,1.57954375006536,-0.00506251452201741
17.3333333333332,5.47279167635063,3.14431870515463,-0.00366910908005268
17.6666666666665,8.09941731886797,4.6588907446653,-0.00197082961566155
17.9999999999998,10.5982773520821,6.09503340240847,0.00075548529933943
18.3333333333332,12.9278271489669,7.40523422536525,0.00881404734690008
18.6666666666665,15.0552134038894,8.67170778325821,0.0110194139549924
18.9999999999998,16.9455907958831,9.76484009767525,0.0130444080916797
19.3333333333331,18.5686398577439,10.7024722735833,0.0150579102418874
19.6666666666665,19.8988281461241,11.470780649754,0.0171051993340449
19.9999999999998,20.9169979334326,12.0589247351598,0.0192048749721837
20.3333333333331,21.6026141128246,12.4547419062961,0.0213992166386199
20.6666666666665,21.9470285386928,12.6533392866317,0.0237619380474943
20.9999999999998,21.944393376057,12.6507591492859,0.0264010831907072
21.3333333333331,21.5982361647023,12.4490845292342,0.0294396368759254
21.6666666666665,20.9093507943887,12.0479145930345,0.0331415706738131
21.9999999999998,19.8897293495602,11.4528039706185,0.0379820471764363
22.3333333333331,18.5547434789504,10.6686661219688,0.0451218374340219
22.6666666666665,16.922014345833,9.67011910234761,0.0617353148350922
22.9999999999998,15.0023670836201,8.30439105218204,0.12414997028268
23.3333333333331,12.7578833479213,6.15500641263838,0.363101031497711
23.6666666666665,10.1853097330242,3.69032925002469,0.937987719561572
23.9999999999998,7.16563489989002,1.91150339584835,2.11070397421006
24.3333333333331,3.93593356341311,0.835868973290887,3.48116331995765
24.6666666666664,1.04791797472654,0.199811355397873,3.8799750359741
24.9999999999998,-1.46310416559215,-0.277151235238958,3.32572887445295
25.3333333333331,-3.66758649347199,-0.783408816723346,2.06638207059348
25.6666666666664,-5.92881205280347,-1.54248463587634,1.03959255572348
25.9999999999998,-8.30756945759041,-2.78796519938835,0.474661144672249
26.3333333333331,-10.5633408396705,-4.67649237393492,0.178196651138566
26.6666666666664,-12.9642436397912,-6.86636100904081,0.0711085224186055
26.9999999999998,-15.0806586495034,-8.51387858208787,0.040983240693949
