"Time [ms]","InducedVoltage(PriCoil) [V]","InducedVoltage(SecCoil) [V]","Current(PriCoil) [mA]"
0,22.2355,4.29006,0
0.33333333333333,21.6454600803568,7.15374164967041,411.507624643857
0.66666666666666,21.0554168349306,10.0174243768009,575.938007959785
0.99999999999999,20.177747638484,10.9476474472195,630.281882410009
1.33333333333332,19.0006338203678,10.9544035508188,632.051441232859
1.66666666666665,17.531780568394,10.4708941982485,605.893921793359
1.99999999999998,15.7897377522512,9.68797998229803,562.653076072096
2.33333333333331,13.8000709154643,8.69553010761659,507.423105317307
2.66666666666664,11.5933022937884,7.54191676817662,442.924706205969
2.99999999999997,9.20394724640939,6.25931858645526,370.939367718058
3.3333333333333,6.66948838678047,4.87391353561488,292.920748407788
3.66666666666663,4.02989363392849,3.40989715825196,210.201368865199
3.99999999999996,1.32678314352154,1.89155841232015,124.109739278161
4.33333333333329,-1.39723444715305,0.343285385045904,36.006843933593
4.66666666666662,-4.09919573902731,-1.21044577413328,-52.7120637563779
4.99999999999995,-6.73655381773388,-2.74514674200767,-140.620270362936
5.33333333333328,-9.2675764139557,-4.23684464550081,-226.287454518586
5.66666666666661,-11.6525218216957,-5.66188545595316,-308.346873460096
5.99999999999994,-13.8537165007659,-6.99779546753542,-385.475346051059
6.33333333333327,-15.836481418524,-8.22358482797474,-456.429177689946
6.6666666666666,-17.5695359953072,-9.31978806677604,-520.086108033477
6.99999999999993,-19.025551758293,-10.2690878252263,-575.443633624157
7.33333333333326,-20.1815556804956,-11.0563910985356,-621.652273784081
7.66666666666659,-21.0192844435234,-11.6691411233512,-658.05594696311
7.99999999999992,-21.5249933339703,-12.0968986950145,-685.295672850522
8.33333333333325,-21.6900517015108,-12.3103628865251,-704.427965621459
8.66666666666658,-21.5143824179469,-12.365238411262,-709.411672504728
8.99999999999991,-20.9996460479092,-12.2199230968626,-702.702197048215
9.33333333333324,-20.1537764896929,-11.8781953048742,-684.755256470563
9.66666666666657,-18.9900977196634,-11.3472092183419,-656.020957202866
9.9999999999999,-17.5268776285329,-10.6362984408058,-617.033076741362
10.3333333333332,-15.7871847117237,-9.75718596045434,-568.455117661469
10.6666666666666,-13.7984646621759,-8.72388782206706,-511.054031490042
10.9999999999999,-11.5920554116852,-7.5530387903304,-445.756643784249
11.3333333333332,-9.20278634963269,-6.26289490927878,-373.548129420918
11.6666666666665,-6.6683442713566,-4.87433578368451,-295.515851071834
11.9999999999999,-4.02873843345821,-3.4092559613709,-212.845694356457
12.3333333333332,-1.32560022668953,-1.89069019196589,-126.797155189371
12.6666666666665,1.39841311294764,-0.342522564214559,-38.6842458931152
12.9999999999999,4.10034977756018,1.21092084584748,50.0886049667082
13.3333333333332,6.73761141838385,2.74532232591773,138.098070121158
13.6666666666665,9.26862485155123,4.23660274798477,223.929021483986
13.9999999999999,11.6534658184868,5.66131970713622,306.177256913789
14.3333333333332,13.8546034077492,6.99717845478276,383.465525098435
14.6666666666665,15.8372999325062,8.22304354186325,454.573310375898
14.9999999999998,17.5703135356975,9.31932313319121,518.351924326656
15.3333333333332,19.0262739922112,10.2687866193917,573.802428039759
15.6666666666665,20.1822560937088,11.0562814318673,620.060447973993
15.9999999999998,21.0200007343607,11.669334864338,656.429106869103
16.3333333333332,21.5262571327273,12.0981298129315,682.413469480585
16.6666666666665,21.6925345200197,12.3351627335026,698.78518181987
16.9999999999998,21.5154949143644,12.3541276319168,706.883001188201
