0 0
0.0333 63.5
0.039 72.6
0.0461 83.0
0.0547 94.89
0.0652 108.49
0.078 124.04
0.0938 141.81
0.1132 162.13
0.1367 185.36
0.1664 211.92
0.2102 242.29
0.2824 277.0
0.4366 316.69
0.7794 362.07
1.0674 413.95
1.2017 473.27
1.2671 541.08
1.3059 618.61
1.3333 707.25
1.3563 808.59
1.3771 924.45
1.3959 1056.92
1.4138 1208.36
1.4311 1381.5
1.4478 1579.46
1.4642 1805.78
1.4805 2064.52
1.497 2360.34
1.5136 2698.55
1.5306 3085.22
1.5482 3527.29
1.5664 4032.71
1.5856 4610.55
1.6058 5271.19
1.6273 6026.48
1.6503 6890.01
1.6748 7877.26
1.7013 9005.98
1.7297 10296.42
1.7604 11771.78
1.7935 13458.53
1.8293 15386.97
1.8679 17591.74
1.9094 20112.42
1.9538 22994.29
2.0011 26289.09
2.0499 30056.0
2.1432 41077.33
2.1943 56140.09
2.2287 76726.28
2.2653 104861.27
2.3138 143313.16
2.3798 195865.1
2.4701 267687.47
2.5934 365846.6
2.762 500000.0
