0 0
0.0008 1.0
0.0009 1.22
0.0011 1.49
0.0015 1.82
0.0023 2.23
0.004 2.72
0.0081 3.33
0.0189 4.06
0.0452 4.96
0.0974 6.06
0.1814 7.41
0.295 9.05
0.4392 11.06
0.6123 13.51
0.8106 16.51
1.0238 20.17
1.2233 24.64
1.3942 30.1
1.5691 36.78
1.6766 44.94
1.7457 54.9
1.7915 67.07
1.824 81.94
1.8476 100.11
1.8697 122.31
1.8858 149.44
1.9003 182.57
1.9144 223.05
1.9275 272.51
1.9393 332.94
1.9506 406.77
1.9621 496.96
1.9735 607.16
1.9846 741.79
1.9953 906.27
2.006 1107.23
2.0165 1352.74
2.0269 1652.7
2.0369 2019.17
2.0465 2466.89
2.0554 3013.9
2.0633 3682.19
2.0699 4498.68
2.0751 5496.21
2.0795 6714.93
2.0833 8203.88
2.0868 10023.0
2.0966 15476.09
2.1103 23895.98
2.1292 36896.78
2.156 56970.77
2.1956 87966.17
2.2558 135824.85
2.3487 209721.44
2.4921 323822.05
2.7135 500000.0
