"Distance [mm]","Mag_B [tesla]"
0,5.77495927778497e-05
0.0212136,1.34811388312003
0.0424272,1.33888341052852
0.0636408,1.32974135799552
0.0848544,1.32068653219208
0.106068,1.31171775064351
0.1272816,1.30283384172927
0.1484952,1.29403364468307
0.1697088,1.28531600959281
0.1909224,1.27667979740059
0.212136,1.26812387990273
0.2333496,1.25964713974978
0.2545632,1.25124847044643
0.2757768,1.24292677635167
0.2969904,1.23468097267864
0.318204,1.22650998549469
0.3394176,1.21841275172138
0.3606312,1.21038821913451
0.3818448,1.20243534636406
0.4030584,1.19455310289422
0.424272,1.18674046906339
0.4454856,1.1789964360642
0.4666992,1.17132000594343
0.4879128,1.16371019160215
0.5091264,1.15616601679557
0.53034,1.14868651613315
0.5515536,1.14127073507854
0.5727672,1.13391772994959
0.5939808,1.12662656791837
0.6151944,1.11939632701117
0.636408,1.11222609610848
0.6576216,1.10511497494497
0.6788352,1.09806207410957
0.7000488,1.09106651504538
0.7212624,1.08412743004972
0.742476,1.07724396227411
0.7636896,1.0704152657243
0.7849032,1.06364050526024
0.8061168,1.05691885659606
0.8273304,1.05024950630015
0.848544,1.04363165179506
0.8697576,1.03706450135756
0.8909712,1.03054727411866
0.9121848,1.02407920006355
0.9333984,1.01765952003162
0.954612,1.01128748571651
0.9758256,1.00496235966601
0.9970392,0.998683415282157
1.0182528,0.9924499368212
1.0394664,0.986261219393571
1.06068,0.980116568963932
1.0818936,0.974015302351146
1.1031072,0.967956747228282
1.1243208,0.961940242122607
1.1455344,0.955965136415629
1.166748,0.950030790343026
1.1879616,0.944136574994714
1.2091752,0.938281872314804
1.2303888,0.932466075101614
1.2516024,0.926688587007666
1.272816,0.920948822539712
1.2940296,0.915246207058688
1.3152432,0.909580176779752
1.3364568,0.903950178772271
1.3576704,0.89835567095981
1.378884,0.892796122120148
1.4000976,0.887271011885274
1.4213112,0.881779830741383
1.4425248,0.876322080028886
1.4637384,0.870897271942395
1.484952,0.865504929530724
1.5061656,0.860144586696912
1.5273792,0.854815788198186
1.5485928,0.849518089646
1.5698064,0.844251057506009
1.59102,0.839014269098077
1.6122336,0.833807312596273
1.6334472,0.82862978702888
1.6546608,0.82348130227838
1.6758744,0.81836147908147
1.697088,0.813269949029069
1.7183016,0.808206354566279
1.7395152,0.803170348992421
1.7607288,0.798161596461032
1.7819424,0.793179771979842
1.803156,0.7882245614108
1.8243696,0.783295661470071
1.8455832,0.77839277972801
1.8667968,0.773515634609194
1.8880104,0.7686639553924
1.909224,0.763837482210615
1.9304376,0.759035966051033
1.9516512,0.754259168755074
1.9728648,0.749506863018342
1.9940784,0.744778832390664
2.015292,0.740074871276067
2.0365056,0.73539478493279
2.0577192,0.730738389473275
2.0789328,0.726105511864193
2.1001464,0.721495989926397
2.12136,0.716909672334966
2.1425736,0.712346418619177
2.1637872,0.707806099162519
2.1850008,0.703288595202687
2.2062144,0.698793798831596
2.227428,0.694321612995356
2.2486416,0.68987195149429
2.2698552,0.685444738982927
2.2910688,0.681039910970013
2.3122824,0.676657413818486
2.333496,0.672297204745507
2.3547096,0.667959251822447
2.3759232,0.663643533974877
2.3971368,0.659350040982573
2.4183504,0.655078773479528
2.439564,0.650829742953942
2.4607776,0.646602971748209
2.4819912,0.642398493058965
