"Distance [mm]","Mag_B [tesla]"
0,3.92584468963753e-05
0.0259811,1.22486475835206
0.0519622,1.2163952684477
0.0779433,1.20806621405094
0.1039244,1.19987401961325
0.1299055,1.19181516078097
0.1558866,1.18388616439514
0.1818677,1.17608360849174
0.2078488,1.16840412230153
0.2338299,1.16084438625005
0.259811,1.1534011319577
0.2857921,1.14607114223975
0.3117732,1.13885125110618
0.3377543,1.13173834376192
0.3637354,1.12472935660664
0.3897165,1.11782127723485
0.4156976,1.11101114443586
0.4416787,1.10429604819388
0.4676598,1.09767312968785
0.4936409,1.0911395812916
0.519622,1.08469264657376
0.5456031,1.07832962029776
0.5715842,1.07204784842186
0.5975653,1.06584472809919
0.6235464,1.05971770767765
0.6495275,1.05366428669998
0.6755086,1.04768201590376
0.7014897,1.04176849722136
0.7274708,1.03592138377999
0.7534519,1.03013837990166
0.779433,1.02441724110327
0.8054141,1.01875577409646
0.8313952,1.01315183678775
0.8573763,1.00760333827847
0.8833574,1.00210823886473
0.9093385,0.996664550037504
0.9353196,0.991270334482608
0.9613007,0.985923706080643
0.9872818,0.980622829907039
1.0132629,0.975365922232066
1.039244,0.970151250520794
1.0652251,0.964977133433113
1.0912062,0.959841940823777
1.1171873,0.95474409374232
1.1431684,0.949682064433118
1.1691495,0.94465437633537
1.1951306,0.939659604083085
1.2211117,0.934696373505083
1.2470928,0.929763361625071
1.2730739,0.924859296661494
1.299055,0.919982958027685
1.3250361,0.915133176331768
1.3510172,0.910308833376694
1.3769983,0.90550886216022
1.4029794,0.900732246874982
1.4289605,0.895978022908367
1.4549416,0.891245276842639
1.4809227,0.886533146454865
1.5069038,0.881840820716926
1.5328849,0.877167539795532
1.558866,0.872512595052212
1.5848471,0.867875329043333
1.6108282,0.863255135520082
1.6368093,0.858651459428454
1.6627904,0.854063796909278
1.6887715,0.849491695298188
1.7147526,0.844934753125662
1.7407337,0.840392620116995
1.7667148,0.835864997192306
1.7926959,0.831351636466538
1.818677,0.82685234124944
1.8446581,0.822366966045607
1.8706392,0.817895416554428
1.8966203,0.813437649670146
1.9226014,0.808993673481815
1.9485825,0.804563547273313
1.9745636,0.800147381523324
2.0005447,0.795745337905381
2.0265258,0.79135762928782
2.0525069,0.786984519733782
2.078488,0.782626324501306
2.1044691,0.778283410043176
2.1304502,0.773956194007022
2.1564313,0.769645145235311
2.1824124,0.766354309393463
2.2083935,0.763569094370413
2.2343746,0.760785122311132
2.2603557,0.758002392900106
2.2863368,0.75522090584764
2.3123179,0.752440660889833
2.338299,0.749661657788588
2.3642801,0.746883896331607
2.3902612,0.744107376332418
2.4162423,0.741332097630321
2.4422234,0.738558060090442
2.4682045,0.735785263603692
2.4941856,0.733013708086803
2.5201667,0.730243393482284
2.5461478,0.727474319758487
2.5721289,0.724706486909528
2.59811,0.721939894955351
2.6240911,0.719174543941687
2.6500722,0.716410433940082
2.6760533,0.713647565047869
2.7020344,0.710885937388208
2.7280155,0.708125551110049
2.7539966,0.705366406388139
2.7799777,0.702608503423034
2.8059588,0.699851842441095
2.8319399,0.69709642369448
2.857921,0.694342247461154
2.8839021,0.691589314044894
2.9098832,0.688837623775267
2.9358643,0.686087177007641
2.9618454,0.6833379741232
2.9878265,0.68059001552892
3.0138076,0.677843301657574
3.0397887,0.67509783296777
3.0657698,0.672353609943887
3.0917509,0.669610633096113
3.117732,0.666868902960447
3.1437131,0.664128420098686
3.1696942,0.66138918509842
3.1956753,0.658651198573074
3.2216564,0.655914461161845
3.2476375,0.653071539934416
3.2736186,0.649919492477522
3.2995997,0.64675569467273
3.3255808,0.643580145797448
3.3515619,0.64039284531533
3.377543,0.637193792876193
3.4035241,0.63398298831607
3.4295052,0.630760431657195
3.4554863,0.627526123108012
3.4814674,0.62428006306314
3.5074485,0.621022252103442
3.5334296,0.617752690995958
3.5594107,0.614471380693921
3.5853918,0.611178322336784
3.6113729,0.607873517250201
3.637354,0.604556966946014
3.6633351,0.601228673122281
3.6893162,0.597888637663262
3.7152973,0.594536862639408
3.7412784,0.591173350307379
3.7672595,0.587798103110044
3.7932406,0.584411123676449
3.8192217,0.58101241482188
3.8452028,0.577601979547799
3.8711839,0.574179821041874
3.897165,0.570745942677976
3.9231461,0.567300348016181
3.9491272,0.563843040802766
3.9751083,0.560374024970203
4.0010894,0.556893304637185
4.0270705,0.553400884108587
4.0530516,0.549896767875492
4.0790327,0.54638096061519
4.1050138,0.542853467191174
4.1309949,0.539314292653118
4.156976,0.536293670340101
4.1829571,0.534451257467105
4.2089382,0.532615310693677
4.2349193,0.530785826774593
4.2609004,0.528962802524574
4.2868815,0.527146234818268
4.3128626,0.525336120590283
4.3388437,0.523532456835165
4.3648248,0.52173524060739
4.3908059,0.519944469021387
4.416787,0.518160139251525
4.4427681,0.516382248532103
4.4687492,0.514610794157388
4.4947303,0.51284577348157
4.5207114,0.511087183918775
4.5466925,0.509335022943085
4.5726736,0.507589288088521
4.5986547,0.505849976949032
4.6246358,0.504117087178528
4.6506169,0.502390616490862
4.676598,0.500670562659808
4.7025791,0.498956923519095
4.7285602,0.497249696962396
4.7545413,0.495548880943317
4.7805224,0.493854473475412
4.8065035,0.492166472632187
4.8324846,0.490484876547064
4.8584657,0.488809683413429
4.8844468,0.487140891484602
4.9104279,0.485478499073841
4.936409,0.483822504554355
4.9623901,0.482172906359287
4.9883712,0.480529702981726
5.0143523,0.478892892974701
5.0403334,0.477262474951185
5.0663145,0.475638447584083
5.0922956,0.47402080960626
5.1182767,0.47240955981051
5.1442578,0.470804697049573
5.1702389,0.469206220236125
5.19622,0.46761412834279
5.2222011,0.466028420402129
5.2481822,0.464449095506657
5.2741633,0.462876152808813
5.3001444,0.46130959152099
5.3261255,0.459749410915518
5.3521066,0.458195610324671
5.3780877,0.456648189140665
5.4040688,0.455107146815654
5.4300499,0.453572482861734
5.456031,0.45204419685096
5.4820121,0.450522288415299
5.5079932,0.44900675724668
5.5339743,0.447497603096968
5.5599554,0.445994825777974
5.5859365,0.44449842516144
5.6119176,0.443008401179072
5.6378987,0.441524753822489
5.6638798,0.440047483143272
5.6898609,0.438576589252937
5.715842,0.43711207232294
5.7418231,0.435653932584682
5.7678042,0.434202170329513
5.7937853,0.432756785908711
5.8197664,0.431317779733501
5.8457475,0.429885152275055
5.8717286,0.428458904064473
5.8977097,0.427039035692819
5.9236908,0.425625547811078
5.9496719,0.42421844113019
5.975653,0.422817716421028
6.0016341,0.421423374514415
6.0276152,0.420035416301103
6.0535963,0.418653842731804
6.0795774,0.417278654817157
6.1055585,0.415909853627752
6.1315396,0.414547440294113
6.1575207,0.413191416006713
6.1835018,0.411841782015956
6.2094829,0.410498539632204
6.235464,0.409161690225747
6.2614451,0.407831235226827
6.2874262,0.406507176125618
6.3134073,0.405189514472244
6.3393884,0.403851023228072
6.3653695,0.402515734533479
6.3913506,0.40119648106371
6.4173317,0.39988463825569
6.4433128,0.398613085174522
6.4692939,0.397417688263948
