"Time [ms]","InducedVoltage(PriCoil) [V]","InducedVoltage(SecCoil) [V]","Current(PriCoil) [mA]"
0,8.59422,4.94473,0
0.16666666666667,9.50741523344201,5.47196001579318,1.25581039058629
0.33333333333334,10.4206136377698,5.99918624482207,2.50666467128614
0.50000000000001,12.4942920193689,7.19638713203868,3.74762629171457
0.66666666666668,15.9352107927756,9.18292859326892,4.97379774329719
0.83333333333335,19.0345737766822,10.972359907832,6.18033988749907
1.00000000000002,22.8042283930414,13.1488009779632,7.3624910536937
1.16666666666669,25.8171999060454,14.8884883859515,8.51558583130161
1.33333333333336,25.541801098937,14.7299663262067,9.63507348203448
1.50000000000003,23.3168745822593,13.4461286096168,10.7165358995801
1.6666666666667,21.137085260287,12.1885381465806,11.7557050458497
1.83333333333337,19.7335613656358,11.3788826510232,12.748479794974
2.00000000000004,18.4508566625014,10.6390491820171,13.690942118574
2.16666666666671,17.2032190256401,9.91948254558009,14.5793725484285
2.33333333333338,15.941883605895,9.19200930604125,15.410264855516
2.50000000000005,14.6491302843219,8.44643531250153,16.1803398874992
2.66666666666672,13.2753191705836,7.65414232874119,16.8865585100405
2.83333333333339,11.8164982117167,6.81287021443433,17.5261336008775
3.00000000000006,10.3510553491812,5.96782046471217,18.0965410493206
3.16666666666673,8.89650865010881,5.1290939742168,18.5955297177652
3.3333333333334,7.45507317903752,4.29796500993267,19.0211303259032
3.50000000000007,6.039442316731,3.48175469994967,19.3716632225727
3.66666666666674,4.65731339595848,2.68490309722866,19.6457450145739
3.83333333333341,3.30337415835108,1.9043403783947,19.8422940262896
4.00000000000008,1.97162721977101,1.13659870576486,19.9605345685655
4.16666666666675,0.655298628699966,0.377762877280911,20
4.33333333333342,-0.655283944307473,-0.377754388830801,19.9605345685654
4.50000000000009,-1.97161225896425,-1.13659005835499,19.8422940262895
4.66666666666676,-3.30335867047252,-1.90433142607889,19.6457450145736
4.83333333333343,-4.6572971581015,-2.68489371158348,19.3716632225724
5.0000000000001,-6.03942517839995,-3.48174479369985,19.0211303259028
5.16666666666677,-7.45505507579848,-4.29795454571507,18.5955297177647
5.33333333333344,-8.89648961763355,-5.12908297397997,18.09654104932
5.50000000000011,-10.3510355584697,-5.96780902777313,17.5261336008769
5.66666666666678,-11.816478124536,-6.81285861085275,16.8865585100399
5.83333333333345,-13.275299244572,-7.65413081180826,16.1803398874984
6.00000000000012,-14.6491115128687,-8.44642446138142,15.4102648555152
6.16666666666679,-15.941864798475,-9.19199843871092,14.5793725484276
6.33333333333346,-17.2032004617012,-9.91947181656487,13.6909421185731
6.50000000000013,-18.4508358948041,-10.6390371816347,12.748479794973
6.6666666666668,-19.7335343595034,-11.3788670451388,11.7557050458486
6.83333333333347,-21.1370503071388,-12.1885179544098,10.7165358995791
7.00000000000014,-23.3168396641509,-13.4461084478339,9.63507348203339
7.16666666666681,-25.5417947176603,-14.7299626461199,8.51558583130049
7.33333333333348,-25.81724540695,-14.8885146593218,7.36249105369254
7.50000000000015,-22.8042903445276,-13.148836753263,6.18033988749788
7.66666666666682,-19.0346565741752,-10.9724077326601,4.97379774329599
7.83333333333349,-15.9352624007862,-9.18295841076942,3.74762629171333
8.00000000000016,-12.4943293339969,-7.19640869026247,2.50666467128489
8.16666666666683,-10.4206335405184,-5.99919775051804,1.25581039058506
8.3333333333335,-9.50744642873406,-5.47197807354272,-1.24988227817888e-12
8.50000000000017,-9.50743974300904,-5.47197420778275,-1.25581039058754
8.66666666666684,-10.4206144757042,-5.99918672992363,-2.50666467128737
8.83333333333351,-12.494292019311,-7.19638713205121,-3.74762629171579
9.00000000000018,-15.9352107928249,-9.18292859325768,-4.97379774329839
9.16666666666685,-19.0345737766437,-10.9723599078358,-6.18033988750026
9.33333333333351,-22.804228393224,-13.1488009779647,-7.36249105369486
9.50000000000018,-25.817199905863,-14.8884883859546,-8.51558583130273
9.66666666666685,-25.5418010992461,-14.7299663262033,-9.63507348203549
9.83333333333352,-23.3168745817819,-13.4461286096185,-10.7165358995811
10.0000000000002,-21.1370852602028,-12.1885381465764,-11.7557050458507
10.1666666666669,-19.7335613657904,-11.378882651022,-12.7484797949751
10.3333333333335,-18.4508566624875,-10.6390491820108,-13.6909421185747
10.5000000000002,-17.2032190255839,-9.91948254558964,-14.5793725484293
10.6666666666669,-15.9418836061057,-9.19200930603759,-15.4102648555169
10.8333333333335,-14.6491302837602,-8.44643531249408,-16.1803398874997
11.0000000000002,-13.2753191709488,-7.65414232874061,-16.8865585100411
11.1666666666669,-11.8164982116325,-6.81287021444313,-17.5261336008781
11.3333333333335,-10.3510553497712,-5.96782046470766,-18.0965410493209
11.5000000000002,-8.89650864977176,-5.12909397421468,-18.5955297177656
11.6666666666669,-7.45507317959924,-4.29796500993652,-19.0211303259036
11.8333333333336,-6.03944231560745,-3.48175469994707,-19.3716632225731
12.0000000000002,-4.65731339691344,-2.68490309722556,-19.645745014574
12.1666666666669,-3.30337415795788,-1.90434037840064,-19.8422940262898
12.3333333333336,-1.97162721977096,-1.13659870576951,-19.9605345685656
12.5000000000002,-0.6552986289247,-0.377762877267336,-20
12.6666666666669,0.655283944223245,0.377754388828842,-19.9605345685653
12.8333333333336,1.97161225989115,1.13659005836727,-19.8422940262893
13.0000000000002,3.30335866943325,1.90433142606927,-19.6457450145735
13.1666666666669,4.65729715852285,2.68489371157829,-19.3716632225722
13.3333333333336,6.03942517825956,3.48174479370176,-19.0211303259025
13.5000000000003,7.45505507546142,4.29795454571903,-18.5955297177642
