"Time [ms]","InducedVoltage(PriCoil) [V]","InducedVoltage(SecCoil) [V]","Current(PriCoil) [mA]"
0,5.99837,3.37976,0
0.16666666666667,69.1633656710366,39.8440310667632,6.27905195293146
0.33333333333334,132.328361693186,76.3083053830027,12.5333233564307
0.50000000000001,117.347141646248,67.6601455571988,18.7381314585728
0.66666666666668,87.8508264746884,50.6333795478075,24.868988716486
0.83333333333335,36.6517579406684,21.0796131406303,30.9016994374953
1.00000000000002,15.7296438184203,9.00375609311178,36.8124552684685
1.16666666666669,11.9266761923767,6.81021951014374,42.5779291565081
1.33333333333336,7.69335001330727,4.36963599819845,48.1753674101724
1.50000000000003,5.69259940943856,3.216588847189,53.5826794979006
1.6666666666667,4.73579654215144,2.6671025588865,58.7785252292483
1.83333333333337,3.94951316370013,2.21667916055737,63.74239897487
2.00000000000004,3.16041216806758,1.76523243389342,68.45471059287
2.16666666666671,2.50732188238473,1.39152357716223,72.8968627421423
2.33333333333338,2.19297310234455,1.21256865020407,77.05132427758
2.50000000000005,1.97545237962284,1.09102731358075,80.9016994374959
2.66666666666672,1.72927128890276,0.95375728372519,84.4327925502026
2.83333333333339,1.46360340792026,0.804959654269089,87.6306680043874
3.00000000000006,1.21964093338512,0.668713804028859,90.4827052466029
3.16666666666673,1.00067273221855,0.54699319426037,92.977648588826
3.3333333333334,0.806937444932915,0.439814619774164,95.1056516295161
3.50000000000007,0.64147473259689,0.348708947361782,96.8583161128638
3.66666666666674,0.488587260900831,0.264990260478876,98.2287250728694
3.83333333333341,0.343787505777647,0.1861280751826,99.2114701314482
4.00000000000008,0.204677443657121,0.110695228776309,99.8026728428273
4.16666666666675,0.0679794986117574,0.036746026766065,100
4.33333333333342,-0.0679800553726448,-0.0367463528484345,99.802672842827
4.50000000000009,-0.204678041257923,-0.110695738092856,99.2114701314474
4.66666666666676,-0.343784516509481,-0.186126075745318,98.2287250728682
4.83333333333343,-0.488589137798885,-0.264991502671766,96.8583161128622
5.0000000000001,-0.641474644175786,-0.348708923376136,95.1056516295142
5.16666666666677,-0.80693691982729,-0.439814759929219,92.9776485888237
5.33333333333344,-1.00067351197023,-0.546992967307997,90.4827052466003
5.50000000000011,-1.21964107202763,-0.66871379758314,87.6306680043844
5.66666666666678,-1.46360387496799,-0.804959771844871,84.4327925501992
5.83333333333345,-1.72926999570196,-0.95375524404997,80.9016994374922
6.00000000000012,-1.97545268471487,-1.09102912427047,77.0513242775761
6.16666666666679,-2.19297282637971,-1.21256865565829,72.896862742138
6.33333333333346,-2.50732041852104,-1.39152297964132,68.4547105928654
6.50000000000013,-3.16041344497733,-1.76523198812787,63.7423989748652
6.6666666666668,-3.94951204703254,-2.21667926843891,58.7785252292433
6.83333333333347,-4.73579583160865,-2.66710237411176,53.5826794978954
7.00000000000014,-5.6925952782515,-3.2165871591756,48.1753674101669
7.16666666666681,-7.69334733491726,-4.36963103769223,42.5779291565024
7.33333333333348,-11.9266547045866,-6.81020901383675,36.8124552684627
7.50000000000015,-15.7295351254796,-9.00369893967097,30.9016994374894
7.66666666666682,-36.6514771934505,-21.0794434262405,24.8689887164799
7.83333333333349,-87.8502599045494,-50.6330535258134,18.7381314585667
8.00000000000016,-117.347089310024,-67.6601163128035,12.5333233564245
8.16666666666683,-132.328415407845,-76.3083363742026,6.27905195292529
8.3333333333335,-69.1640291820992,-39.8444142307457,-6.1605935489244e-12
8.50000000000017,-69.1635477657947,-39.8441366600952,-6.27905195293772
8.66666666666684,-132.32850148142,-76.3083861791163,-12.5333233564369
8.83333333333351,-117.347141645841,-67.6601455568875,-18.7381314585789
9.00000000000017,-87.8508264743237,-50.6333795477834,-24.8689887164916
9.16666666666684,-36.6517579408934,-21.0796131406078,-30.9016994375009
9.33333333333351,-15.7296438188979,-9.00375609310217,-36.812455268474
9.50000000000018,-11.9266761919274,-6.81021951014719,-42.5779291565133
9.66666666666685,-7.6933500134477,-4.3696359981834,-48.1753674101775
9.83333333333352,-5.69259940915773,-3.21658884719697,-53.5826794979056
10.0000000000002,-4.73579654217961,-2.6671025588836,-58.7785252292534
10.1666666666669,-3.94951316386868,-2.21667916055355,-63.7423989748757
10.3333333333335,-3.16041216742153,-1.76523243390292,-68.4547105928734
10.5000000000002,-2.50732188345206,-1.39152357716511,-72.8968627421463
10.6666666666669,-2.19297310197944,-1.21256865020387,-77.0513242775845
10.8333333333335,-1.97545237897678,-1.09102731357896,-80.9016994374984
11.0000000000002,-1.72927128825679,-0.953757283722614,-84.4327925502055
11.1666666666669,-1.46360340893138,-0.804959654259143,-87.6306680043905
11.3333333333335,-1.2196409338346,-0.668713804038022,-90.4827052466046
11.5000000000002,-1.00067273190955,-0.546993194261622,-92.9776485888279
11.6666666666669,-0.806937444876715,-0.439814619775874,-95.105651629518
11.8333333333335,-0.641474732877835,-0.348708947374857,-96.8583161128646
12.0000000000002,-0.488587260282828,-0.264990260471258,-98.2287250728703
12.1666666666669,-0.343787507041721,-0.18612807515733,-99.2114701314489
12.3333333333336,-0.204677443460446,-0.110695228799541,-99.8026728428278
12.5000000000002,-0.0679794986960237,-0.0367460267603198,-100
12.6666666666669,0.0679800554288502,0.0367463528532225,-99.8026728428266
12.8333333333336,0.204678041735376,0.110695738097187,-99.2114701314465
13.0000000000002,0.343784517239732,0.18612607574382,-98.2287250728675
13.1666666666669,0.488589137939359,0.264991502648411,-96.8583161128609
13.3333333333336,0.641474643614072,0.348708923387087,-95.1056516295123
13.5000000000002,0.806936919742945,0.439814759950537,-92.9776485888224
