0 0
0.012 1.1
0.023 1.7
0.03 2.1
0.039 2.5
0.065 3.7
0.089 4.5
0.11 5.4
0.158 6.6
0.213 8.1
0.293 9.9
0.41 12.1
0.568 14.7
0.764 18.0
0.987 21.9
1.214 26.7
1.398 32.6
1.508 39.8
1.555 48.6
1.59 59.3
1.626 72.3
1.659 88.2
1.686 107.6
1.708 131.3
1.726 160.2
1.745 195.4
1.764 238.4
1.783 290.9
1.799 354.9
1.813 432.9
1.827 528.2
1.84 644.4
1.854 786.2
1.869 959.1
1.885 1170.1
1.902 1427.6
1.918 1741.7
1.932 2124.9
1.945 2592.4
1.956 3162.8
1.964 3858.6
1.97 4707.6
1.974 5743.4
1.976 7007.0
1.978 8059.2
1.98 9269.5
1.982 10661.5
1.984 12262.5
1.987 14103.9
1.991 16221.9
1.994 18657.9
1.999 21459.7
2.004 24682.3
2.009 28388.8
2.016 32651.9
2.024 37555.2
2.032 43194.8
2.042 49681.3
2.053 57141.8
2.066 65722.7
2.081 75592.2
2.097 86943.8
2.12 100000.0
